[NX Daemon Server] - 2024-12-02T06:18:14.470Z - Started listening on: \\.\pipe\nx\C:\Users\aswini.u\AppData\Local\Temp\4553a8e9289a6136d72c\d.sock
[NX Daemon Server] - 2024-12-02T06:18:14.477Z - [WATCHER]: Subscribed to changes within: C:\Users\aswini.u\Desktop\strapi\strapi (native)
[NX Daemon Server] - 2024-12-02T06:18:14.486Z - Established a connection. Number of open connections: 1
[NX Daemon Server] - 2024-12-02T06:18:14.492Z - Closed a connection. Number of open connections: 0
[NX Daemon Server] - 2024-12-02T06:18:14.523Z - Established a connection. Number of open connections: 1
[NX Daemon Server] - 2024-12-02T06:18:14.533Z - [REQUEST]: Responding to the client. Shutdown initiated
[NX Daemon Server] - 2024-12-02T06:18:14.536Z - Done responding to the client Shutdown initiated
[NX Daemon Server] - 2024-12-02T06:18:14.537Z - Handled FORCE_SHUTDOWN. Handling time: 1. Response time: 4.
[NX Daemon Server] - 2024-12-02T06:18:14.537Z - Closed a connection. Number of open connections: 0
[NX Daemon Server] - 2024-12-02T06:18:14.538Z - [WATCHER]: Stopping the watcher for C:\Users\aswini.u\Desktop\strapi\strapi (sources)
[NX Daemon Server] - 2024-12-02T06:18:14.538Z - [WATCHER]: Stopping the watcher for C:\Users\aswini.u\Desktop\strapi\strapi (outputs)
[NX Daemon Server] - 2024-12-02T06:22:19.252Z - Started listening on: \\.\pipe\nx\C:\Users\aswini.u\AppData\Local\Temp\4553a8e9289a6136d72c\d.sock
[NX Daemon Server] - 2024-12-02T06:22:19.264Z - [WATCHER]: Subscribed to changes within: C:\Users\aswini.u\Desktop\strapi\strapi (native)
[NX Daemon Server] - 2024-12-02T06:22:19.269Z - Established a connection. Number of open connections: 1
[NX Daemon Server] - 2024-12-02T06:22:19.272Z - Established a connection. Number of open connections: 2
[NX Daemon Server] - 2024-12-02T06:22:19.277Z - Closed a connection. Number of open connections: 1
[NX Daemon Server] - 2024-12-02T06:22:19.282Z - [REQUEST]: Client Request for Project Graph Received
[NX Daemon Server] - 2024-12-02T06:22:20.059Z - [REQUEST]: Updated workspace context based on watched changes, recomputing project graph...
[NX Daemon Server] - 2024-12-02T06:22:20.059Z - [REQUEST]: 
[NX Daemon Server] - 2024-12-02T06:22:20.059Z - [REQUEST]: 
[NX Daemon Server] - 2024-12-02T06:22:20.119Z - Time taken for 'loadNxPlugins' 762.2035999894142ms
[NX Daemon Server] - 2024-12-02T06:22:20.994Z - Time taken for 'build-project-configs' 799.1624000072479ms
[NX Daemon Server] - 2024-12-02T06:22:21.190Z - [SYNC]: collect registered sync generators
[NX Daemon Server] - 2024-12-02T06:22:21.197Z - [REQUEST]: Responding to the client. project-graph
[NX Daemon Server] - 2024-12-02T06:22:21.214Z - Time taken for 'total for creating and serializing project graph' 1915.0094999670982ms
[NX Daemon Server] - 2024-12-02T06:22:21.216Z - Done responding to the client project-graph
[NX Daemon Server] - 2024-12-02T06:22:21.217Z - Handled REQUEST_PROJECT_GRAPH. Handling time: 1915. Response time: 20.
[NX Daemon Server] - 2024-12-02T06:22:22.348Z - [REQUEST]: Responding to the client. handleHashTasks
[NX Daemon Server] - 2024-12-02T06:22:22.362Z - Done responding to the client handleHashTasks
[NX Daemon Server] - 2024-12-02T06:22:22.363Z - Handled HASH_TASKS. Handling time: 355. Response time: 15.
[NX Daemon Server] - 2024-12-02T06:22:22.480Z - [REQUEST]: Responding to the client. handleGetEstimatedTaskTimings
[NX Daemon Server] - 2024-12-02T06:22:22.481Z - Done responding to the client handleGetEstimatedTaskTimings
[NX Daemon Server] - 2024-12-02T06:22:22.481Z - Handled GET_ESTIMATED_TASK_TIMINGS. Handling time: 33. Response time: 1.
[NX Daemon Server] - 2024-12-02T06:22:50.175Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-12-02T06:22:50.288Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-12-02T06:22:50.365Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-12-02T06:22:56.911Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-12-02T06:22:57.045Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-12-02T06:22:57.113Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-12-02T06:23:02.741Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-12-02T06:23:02.802Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-12-02T06:23:02.867Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-12-02T06:23:03.592Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-12-02T06:23:03.642Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-12-02T06:23:03.862Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-12-02T06:23:03.898Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-12-02T06:23:08.312Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-12-02T06:23:08.444Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-12-02T06:23:08.541Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-12-02T06:23:08.602Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-12-02T06:23:08.709Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-12-02T06:23:09.960Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-12-02T06:23:10.082Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-12-02T06:23:10.119Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-12-02T06:23:10.244Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-12-02T06:23:10.292Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-12-02T06:23:10.613Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-12-02T06:23:11.002Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-12-02T06:23:11.144Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-12-02T06:23:11.389Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-12-02T06:23:11.390Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-12-02T06:23:11.470Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-12-02T06:23:11.533Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-12-02T06:23:11.676Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-12-02T06:23:11.906Z - [REQUEST]: Responding to the client. recordOutputsHash
[NX Daemon Server] - 2024-12-02T06:23:11.906Z - Done responding to the client recordOutputsHash
[NX Daemon Server] - 2024-12-02T06:23:11.906Z - Handled RECORD_OUTPUTS_HASH. Handling time: 17. Response time: 0.
[NX Daemon Server] - 2024-12-02T06:23:13.791Z - [WATCHER]: Processing file changes in outputs
